,Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,geometry,Latitude,Longitude
8,Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",Yes,,Manhattan,,POINT (-73.9513038 40.8226582),40.8226582,-73.9513038
10,Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",Yes,,Manhattan,,POINT (-94.5145485 38.8906574),38.8906574,-94.5145485
22,Annunciation Park,"Convent and Amsterdam Av, W 135 St",,Yes,Manhattan,,POINT (-73.9522259 40.8189391),40.8189391,-73.9522259
26,Asser Levy,Asser Levy Place & East 24-25 streets,Yes,,Manhattan,,POINT (-73.9756582 40.7361601),40.7361601,-73.9756582
33,Audubon Playground,West 170 Street & Audubon Avenue,Yes,,Manhattan,,POINT (-73.93751189999999 40.8416668),40.8416668,-73.93751189999999
40,Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Yes,,Manhattan,,POINT (-74.01393399999999 40.7052168),40.7052168,-74.01393399999999
41,Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Yes,,Manhattan,,POINT (-74.01393399999999 40.7052168),40.7052168,-74.01393399999999
50,Bendheim Playground,100th Street and Fifth Ave,,Yes,Manhattan,,POINT (-73.9656176 40.7744147),40.7744147,-73.9656176
51,Bennett Park,"West 185 Street, Ft Washington Avenue",Yes,,Manhattan,,POINT (-73.9374359 40.85337579999999),40.85337579999999,-73.9374359
59,Bleecker Playground,Hudson & West 11 streets,Yes,,Manhattan,,POINT (-74.0059591 40.7358468),40.7358468,-74.0059591
63,Bloomingdale Playground,"Amsterdam Avenue, West 104 & West 105 streets",Yes,,Manhattan,,POINT (-94.7243539 38.9387882),38.9387882,-94.7243539
71,Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Yes,,Manhattan,,POINT (-73.9815219 40.767848),40.767848,-73.9815219
96,Carl Schurz Park,East 84 Street & East End Avenue,Yes,Yes,Manhattan,,POINT (-73.9457261 40.7736255),40.7736255,-73.9457261
98,Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",Yes,,Manhattan,,POINT (-73.9448444 40.8290308),40.8290308,-73.9448444
107,Central Park (Ancient Playground),85 ST & 5TH AVE,,Yes,Manhattan,,POINT (-73.9609158 40.7808552),40.7808552,-73.9609158
108,Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,Yes,,Manhattan,,POINT (-73.9656176 40.7744147),40.7744147,-73.9656176
109,Central Park (Bethesda Terrace),,,,Manhattan,,POINT (-73.97096570000001 40.7739528),40.7739528,-73.97096570000001
110,Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",Yes,,Manhattan,,POINT (-73.95252889999999 40.7923552),40.7923552,-73.95252889999999
111,Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,Yes,Yes,Manhattan,,POINT (-73.9656176 40.7744147),40.7744147,-73.9656176
112,Central Park (Heckscher Playground),"62 ST, BET WEST & CENTER DRS",,,Manhattan,,POINT (-73.9772285 40.7684641),40.7684641,-73.9772285
113,Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,Yes,,Manhattan,,POINT (-73.9656176 40.7744147),40.7744147,-73.9656176
114,Central Park (Lasker),Central Park at 107th Street,Yes,Yes,Manhattan,,POINT (-73.95955289999999 40.7987356),40.7987356,-73.95955289999999
115,Central Park (Loeb Boathouse),East Side between 74th and 75th streets,Yes,,Manhattan,,POINT (-87.59384779999999 41.7587069),41.7587069,-87.59384779999999
116,Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Yes,Yes,Manhattan,,POINT (-73.9595918 40.7911833),40.7911833,-73.9595918
117,Central Park (Ramble),Central Park,,,Manhattan,,POINT (-73.9655834 40.7825547),40.7825547,-73.9655834
118,"Central Park (Sheep Meadow, Mineral Springs)",Mid-park at 69th Street,No,Yes,Manhattan,,POINT (-73.9748418 40.7717813),40.7717813,-73.9748418
119,Central Park (Tavern on The Green),Central Park,,,Manhattan,,POINT (-73.9655834 40.7825547),40.7825547,-73.9655834
121,Central Park (The Great Hill),West Side from 103rd to 107th streets,No,,Manhattan,,POINT (-73.9589429 40.7968924),40.7968924,-73.9589429
122,Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,Yes,,Manhattan,,POINT (-73.9623045 40.7789583),40.7789583,-73.9623045
123,Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",No,,Manhattan,,POINT (-73.9655834 40.7825547),40.7825547,-73.9655834
124,Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Yes,Yes,Manhattan,,POINT (-73.97380989999999 40.7669315),40.7669315,-73.97380989999999
125,Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Yes,Yes,Manhattan,,POINT (-73.96879419999999 40.7802033),40.7802033,-73.96879419999999
129,Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Yes,Yes,Manhattan,,POINT (-73.9973599 40.7465078),40.7465078,-73.9973599
130,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,,Manhattan,,POINT (-73.9057289 40.8314159),40.8314159,-73.9057289
139,Col. Charles Young Playground,West 144 Street & Lenox Avenue,Yes,,Manhattan,,POINT (-73.9367917 40.8197984),40.8197984,-73.9367917
141,Coleman Square Playground,Between Cherry & Monroe streets,Yes,,Manhattan,,POINT (-73.99365449999999 40.7112051),40.7112051,-73.99365449999999
145,Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Yes,Yes,Manhattan,,POINT (-87.76953929999999 41.8742824),41.8742824,-87.76953929999999
160,Corporal John A. Seravalli Playground,Hudson & Horatio streets,Yes,,Manhattan,,POINT (-74.00479039999999 40.7391104),40.7391104,-74.00479039999999
174,De Witt Clinton Park,"West 52 to West 54 streets, 11 to 12 avenues",Yes,Yes,Manhattan,,POINT (-73.9942296 40.7680424),40.7680424,-73.9942296
182,Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",Yes,,Manhattan,,POINT (-74.0017235 40.73054339999999),40.73054339999999,-74.0017235
187,Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",No,,Manhattan,,POINT (-73.9762094 40.7253305),40.7253305,-73.9762094
190,Dyckman House Museum,Broadway & West 204 Street,Yes,,Manhattan,,POINT (-73.9231162 40.86702289999999),40.86702289999999,-73.9231162
193,East River Park (10th Street),Northern extreme of park,Yes,,Manhattan,,POINT (-73.974383 40.7189217),40.7189217,-73.974383
194,East River Park (Tennis Courts),East River Park at Broome Street,Yes,,Manhattan,,POINT (-73.9994536 40.7216126),40.7216126,-73.9994536
195,East River Park (Track Building),East 6 Street & FDR Drive,Yes,,Manhattan,,POINT (-73.9747652 40.7216161),40.7216161,-73.9747652
196,East River Playground,"FDR Drive, East 106 to East 107 streets",Yes,,Manhattan,,POINT (-73.93784509999999 40.7887513),40.7887513,-73.93784509999999
