,Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,geometry,Latitude,Longitude
3,Abe Lincoln,"East 135 Street, between Madison & 5 avenues",Yes,,Manhattan,,,,
8,Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",Yes,,Manhattan,,,40.8226582,-73.9513038
9,Alfred E. Smith Park,"Catherine Slip, Madison & South streets",Yes,,Manhattan,,,,
10,Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",Yes,,Manhattan,,,38.8906574,-94.5145485
22,Annunciation Park,"Convent and Amsterdam Av, W 135 St",,Yes,Manhattan,,,40.8189391,-73.9522259
26,Asser Levy,Asser Levy Place & East 24-25 streets,Yes,,Manhattan,,,,
33,Audubon Playground,West 170 Street & Audubon Avenue,Yes,,Manhattan,,,40.8416668,-73.93751189999999
34,Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",Yes,,Manhattan,,,,
40,Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Yes,,Manhattan,,,40.7052168,-74.01393399999999
41,Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Yes,,Manhattan,,,40.7052168,-74.01393399999999
50,Bendheim Playground,100th Street and Fifth Ave,,Yes,Manhattan,,,40.7744147,-73.9656176
51,Bennett Park,"West 185 Street, Ft Washington Avenue",Yes,,Manhattan,,,40.85337579999999,-73.9374359
59,Bleecker Playground,Hudson & West 11 streets,Yes,,Manhattan,,,40.7358468,-74.0059591
63,Bloomingdale Playground,"Amsterdam Avenue, West 104 & West 105 streets",Yes,,Manhattan,,,38.9387882,-94.7243539
71,Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Yes,,Manhattan,,,40.767848,-73.9815219
96,Carl Schurz Park,East 84 Street & East End Avenue,Yes,Yes,Manhattan,,,40.7736255,-73.9457261
97,Carl Schurz Promenade,"Stone Wall to East River, East 84 to East 90 streets",Yes,,Manhattan,,,,
98,Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",Yes,,Manhattan,,,40.8290308,-73.9448444
107,Central Park (Ancient Playground),85 ST & 5TH AVE,,Yes,Manhattan,,,40.7808552,-73.9609158
108,Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,Yes,,Manhattan,,,40.7744147,-73.9656176
109,Central Park (Bethesda Terrace),,,,Manhattan,,,,
110,Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",Yes,,Manhattan,,,40.7923552,-73.95252889999999
111,Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,Yes,Yes,Manhattan,,,40.7744147,-73.9656176
112,Central Park (Heckscher Playground),"62 ST, BET WEST & CENTER DRS",,,Manhattan,,,,
113,Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,Yes,,Manhattan,,,40.7744147,-73.9656176
114,Central Park (Lasker),Central Park at 107th Street,Yes,Yes,Manhattan,,,40.7987356,-73.95955289999999
115,Central Park (Loeb Boathouse),East Side between 74th and 75th streets,Yes,,Manhattan,,,41.7587069,-87.59384779999999
116,Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Yes,Yes,Manhattan,,,,
